"Aaden"	["Red Sox", 47, 18]
"Madelynn"	["Red Sox", 59, 25]
"Madilyn"	["Red Sox", 39, 35]
"Madilynn"	["Red Sox", 52, 24]
"Madison"	["Cardinals", 28, 49]
"Madisyn"	["Cardinals", 33, 48]
"Madyson"	["Red Sox", 46, 24]
"Mae"	["Cardinals", 28, 64]
"Maeve"	["Cardinals", 30, 50]
"Maggie"	["Cardinals", 28, 41]
"Maia"	["Red Sox", 45, 32]
"Maison"	["Cardinals", 31, 45]
"Major"	["Red Sox", 49, 22]
"Makai"	["Red Sox", 55, 41]
"Makayla"	["Red Sox", 49, 37]
"Makenna"	["Red Sox", 50, 33]
"Makenzie"	["Red Sox", 51, 32]
"Makhi"	["Cardinals", 29, 46]
"Malachi"	["Red Sox", 53, 32]
"Malakai"	["Red Sox", 53, 24]
"Malaki"	["Red Sox", 55, 30]
"Malaya"	["Red Sox", 54, 28]
"Malaysia"	["Red Sox", 45, 25]
"Malcolm"	["Cardinals", 31, 44]
"Maleah"	["Red Sox", 50, 38]
"Malia"	["Cardinals", 25, 35]
"Maliah"	["Red Sox", 58, 34]
"Malik"	["Cardinals", 29, 47]
"Maliyah"	["Red Sox", 47, 27]
"Mallory"	["Cardinals", 27, 35]
"Manuel"	["Red Sox", 49, 23]
"Mara"	["Red Sox", 42, 22]
"Marc"	["Red Sox", 46, 30]
"Marcel"	["Cardinals", 31, 46]
"Marcelo"	["Red Sox", 47, 33]
"Marco"	["Red Sox", 44, 27]
"Marcos"	["Red Sox", 38, 24]
"Marcus"	["Cardinals", 27, 45]
"Margaret"	["Cardinals", 30, 49]
"Maria"	["Cardinals", 24, 51]
"Mariah"	["Red Sox", 47, 24]
"Mariam"	["Cardinals", 26, 58]
"Mariana"	["Cardinals", 25, 59]
"Marianna"	["Red Sox", 50, 35]
"Marie"	["Red Sox", 46, 27]
"Marilyn"	["Red Sox", 56, 31]
"Marina"	["Red Sox", 45, 32]
"Mario"	["Cardinals", 32, 42]
"Marisa"	["Red Sox", 49, 32]
"Marisol"	["Cardinals", 30, 43]
"Marissa"	["Red Sox", 39, 29]
"Maritza"	["Red Sox", 57, 22]
"Mariyah"	["Cardinals", 28, 44]
"Mark"	["Red Sox", 42, 23]
"Markus"	["Cardinals", 32, 40]
"Marlee"	["Cardinals", 28, 47]
"Marlene"	["Cardinals", 30, 47]
"Marley"	["Red Sox", 47, 30]
"Marlon"	["Red Sox", 50, 36]
"Marquis"	["Red Sox", 48, 34]
"Marshall"	["Cardinals", 31, 60]
"Martha"	["Red Sox", 45, 28]
"Martin"	["Cardinals", 34, 41]
"Marvin"	["Cardinals", 24, 40]
"Mary"	["Cardinals", 24, 47]
"Maryam"	["Red Sox", 51, 27]
"Masen"	["Cardinals", 28, 47]
"Mason"	["Red Sox", 59, 22]
"Mateo"	["Red Sox", 56, 29]
"Mathew"	["Red Sox", 49, 24]
"Mathias"	["Cardinals", 32, 43]
"Matias"	["Cardinals", 34, 39]
"Matilda"	["Red Sox", 50, 32]
"Matteo"	["Cardinals", 32, 45]
"Matthew"	["Red Sox", 44, 19]
"Matthias"	["Red Sox", 43, 33]
"Mattie"	["Red Sox", 61, 38]
"Maurice"	["Cardinals", 38, 38]
"Mauricio"	["Red Sox", 55, 26]
"Maverick"	["Red Sox", 49, 31]
"Max"	["Red Sox", 48, 28]
"Maxim"	["Cardinals", 31, 55]
"Maximilian"	["Red Sox", 38, 34]
"Maximiliano"	["Cardinals", 23, 54]
"Maximo"	["Red Sox", 47, 17]
"Maximus"	["Red Sox", 43, 18]
"Maxton"	["Red Sox", 52, 24]
"Maxwell"	["Red Sox", 45, 33]
"Maya"	["Cardinals", 48, 45]
"Mayson"	["Cardinals", 24, 63]
"Mckayla"	["Red Sox", 40, 29]
"Mckenna"	["Cardinals", 31, 50]
"Mckenzie"	["Red Sox", 46, 26]
"Mckinley"	["Red Sox", 62, 29]
"Meadow"	["Cardinals", 29, 56]
"Megan"	["Red Sox", 56, 27]
"Meghan"	["Cardinals", 31, 54]
"Mekhi"	["Cardinals", 27, 50]
"Melanie"	["Red Sox", 38, 34]
"Melany"	["Cardinals", 26, 46]
"Melina"	["Red Sox", 40, 32]
"Melissa"	["Red Sox", 45, 28]
"Melody"	["Red Sox", 58, 25]
"Melvin"	["Red Sox", 40, 27]
"Memphis"	["Cardinals", 29, 39]
"Mercedes"	["Cardinals", 27, 53]
"Meredith"	["Cardinals", 24, 42]
"Messiah"	["Cardinals", 35, 33]
"Mia"	["Cardinals", 32, 43]
"Miah"	["Cardinals", 28, 32]
"Micah"	["Cardinals", 33, 43]
"Michael"	["Cardinals", 39, 47]
"Michaela"	["Red Sox", 44, 29]
"Micheal"	["Red Sox", 61, 27]
"Michelle"	["Cardinals", 21, 56]
"Miguel"	["Red Sox", 48, 26]
"Mikaela"	["Red Sox", 55, 24]
"Mikayla"	["Red Sox", 46, 34]
"Mike"	["Red Sox", 54, 23]
"Mila"	["Red Sox", 50, 34]
"Milan"	["Cardinals", 23, 35]
"Milana"	["Cardinals", 26, 43]
"Milania"	["Cardinals", 28, 46]
"Milena"	["Cardinals", 32, 46]
"Miles"	["Cardinals", 31, 51]
"Miley"	["Cardinals", 28, 42]
"Millie"	["Cardinals", 28, 40]
"Milo"	["Cardinals", 26, 37]
"Mina"	["Cardinals", 37, 45]
"Mira"	["Red Sox", 58, 22]
"Miracle"	["Cardinals", 26, 31]
"Miranda"	["Cardinals", 32, 46]
"Miriam"	["Red Sox", 39, 27]
"Misael"	["Red Sox", 49, 28]
"Mitchell"	["Cardinals", 28, 50]
"Miya"	["Red Sox", 49, 26]
"Mohamed"	["Cardinals", 28, 48]
"Mohammad"	["Red Sox", 49, 25]
"Mohammed"	["Cardinals", 26, 54]
"Moises"	["Red Sox", 51, 22]
"Mollie"	["Red Sox", 72, 21]
"Molly"	["Cardinals", 25, 44]
"Monica"	["Cardinals", 32, 40]
"Monroe"	["Red Sox", 47, 25]
"Morgan"	["Cardinals", 30, 49]
"Moriah"	["Red Sox", 49, 26]
"Moses"	["Cardinals", 34, 46]
"Moshe"	["Red Sox", 50, 22]
"Muhammad"	["Cardinals", 21, 52]
"Mustafa"	["Cardinals", 29, 59]
"Mya"	["Cardinals", 26, 48]
"Myah"	["Red Sox", 51, 35]
"Myla"	["Red Sox", 46, 27]
"Myles"	["Cardinals", 36, 41]
"Myra"	["Cardinals", 29, 49]
"Nadia"	["Cardinals", 30, 53]
"Nahla"	["Red Sox", 54, 22]
"Nancy"	["Red Sox", 46, 27]
"Naomi"	["Red Sox", 38, 24]
"Nash"	["Cardinals", 22, 53]
"Nasir"	["Red Sox", 36, 35]
"Natalee"	["Red Sox", 31, 27]
"Natalia"	["Red Sox", 59, 25]
"Natalie"	["Cardinals", 31, 42]
"Nataly"	["Cardinals", 26, 51]
"Natalya"	["Red Sox", 35, 17]
"Natasha"	["Red Sox", 70, 18]
"Nathalie"	["Cardinals", 28, 48]
"Nathaly"	["Red Sox", 54, 26]
"Nathan"	["Red Sox", 54, 20]
"Nathanael"	["Red Sox", 56, 31]
"Nathaniel"	["Cardinals", 37, 47]
"Nayeli"	["Cardinals", 24, 53]
"Nehemiah"	["Red Sox", 47, 31]
"Neil"	["Cardinals", 30, 50]
"Nelson"	["Cardinals", 26, 39]
"Nevaeh"	["Cardinals", 25, 49]
"Neymar"	["Cardinals", 21, 51]
"Nia"	["Red Sox", 38, 31]
"Nicholas"	["Red Sox", 47, 28]
"Nickolas"	["Cardinals", 33, 36]
"Nico"	["Red Sox", 53, 38]
"Nicolas"	["Cardinals", 35, 52]
"Nicole"	["Red Sox", 53, 38]
"Niko"	["Cardinals", 22, 55]
"Nikolai"	["Cardinals", 38, 55]
"Nikolas"	["Red Sox", 51, 19]
"Nina"	["Cardinals", 34, 44]
"Nixon"	["Cardinals", 31, 32]
"Noah"	["Red Sox", 50, 26]
"Noe"	["Cardinals", 34, 44]
"Noel"	["Red Sox", 45, 26]
"Noelle"	["Red Sox", 59, 34]
"Noemi"	["Red Sox", 42, 29]
"Nola"	["Red Sox", 58, 32]
"Nolan"	["Red Sox", 38, 30]
"Nora"	["Cardinals", 33, 39]
"Norah"	["Cardinals", 23, 46]
"Nova"	["Red Sox", 49, 31]
"Nyla"	["Red Sox", 42, 29]
"Nylah"	["Cardinals", 28, 48]
"Oakley"	["Cardinals", 35, 37]
"Odin"	["Cardinals", 26, 42]
"Olive"	["Red Sox", 53, 30]
"Oliver"	["Cardinals", 25, 51]
"Olivia"	["Cardinals", 26, 52]
"Omar"	["Red Sox", 50, 20]
"Omari"	["Cardinals", 32, 50]
"Orion"	["Red Sox", 54, 28]
"Orlando"	["Cardinals", 28, 56]
"Oscar"	["Red Sox", 46, 23]
"Osvaldo"	["Red Sox", 54, 20]
"Otto"	["Cardinals", 24, 60]
"Owen"	["Cardinals", 37, 62]
"Pablo"	["Red Sox", 45, 31]
"Paige"	["Red Sox", 49, 24]
"Paislee"	["Cardinals", 35, 51]
"Paisley"	["Red Sox", 40, 29]
"Paityn"	["Cardinals", 23, 37]
"Paloma"	["Cardinals", 24, 41]
"Paola"	["Cardinals", 41, 44]
"Paris"	["Red Sox", 43, 38]
"Parker"	["Cardinals", 29, 34]
"Patience"	["Cardinals", 29, 58]
"Patricia"	["Cardinals", 33, 53]
"Patrick"	["Cardinals", 28, 46]
"Paul"	["Red Sox", 54, 24]
"Paula"	["Red Sox", 42, 28]
"Paulina"	["Cardinals", 29, 51]
"Paxton"	["Red Sox", 41, 23]
"Payton"	["Red Sox", 53, 19]
"Pearl"	["Red Sox", 53, 37]
"Pedro"	["Cardinals", 30, 54]
"Penelope"	["Red Sox", 45, 36]
"Perla"	["Cardinals", 28, 54]
"Peter"	["Red Sox", 66, 23]
"Peyton"	["Red Sox", 52, 40]
"Philip"	["Red Sox", 45, 22]
"Phillip"	["Red Sox", 47, 28]
"Phoebe"	["Cardinals", 36, 58]
"Phoenix"	["Red Sox", 49, 34]
"Pierce"	["Red Sox", 52, 31]
"Piper"	["Red Sox", 39, 31]
"Porter"	["Red Sox", 35, 36]
"Presley"	["Cardinals", 26, 36]
"Preston"	["Cardinals", 27, 54]
"Prince"	["Red Sox", 50, 27]
"Princeton"	["Cardinals", 23, 45]
"Priscilla"	["Red Sox", 48, 24]
"Quentin"	["Red Sox", 44, 36]
"Quincy"	["Red Sox", 53, 26]
"Quinn"	["Cardinals", 31, 47]
"Quintin"	["Cardinals", 36, 45]
"Quinton"	["Red Sox", 60, 28]
"Rachael"	["Red Sox", 51, 31]
"Rachel"	["Cardinals", 34, 43]
"Raegan"	["Cardinals", 30, 54]
"Raelyn"	["Red Sox", 51, 25]
"Raelynn"	["Cardinals", 20, 46]
"Rafael"	["Red Sox", 53, 32]
"Raiden"	["Red Sox", 43, 33]
"Raina"	["Cardinals", 32, 46]
"Ramiro"	["Cardinals", 27, 57]
"Ramon"	["Red Sox", 59, 26]
"Randall"	["Cardinals", 25, 54]
"Randy"	["Red Sox", 52, 27]
"Raphael"	["Cardinals", 32, 46]
"Raquel"	["Red Sox", 54, 19]
"Rashad"	["Red Sox", 42, 32]
"Raul"	["Red Sox", 43, 32]
"Raven"	["Cardinals", 31, 47]
"Ray"	["Red Sox", 49, 28]
"Rayan"	["Red Sox", 48, 33]
"Rayden"	["Red Sox", 48, 26]
"Raylan"	["Cardinals", 31, 45]
"Raylee"	["Red Sox", 45, 32]
"Raymond"	["Cardinals", 30, 43]
"Rayna"	["Cardinals", 34, 50]
"Rayne"	["Red Sox", 41, 25]
"Reagan"	["Red Sox", 32, 29]
"Rebecca"	["Red Sox", 48, 30]
"Rebekah"	["Cardinals", 31, 41]
"Reece"	["Cardinals", 30, 54]
"Reed"	["Red Sox", 45, 25]
"Reese"	["Red Sox", 49, 25]
"Regan"	["Cardinals", 42, 36]
"Regina"	["Red Sox", 60, 36]
"Reginald"	["Red Sox", 53, 32]
"Reid"	["Cardinals", 36, 42]
"Remington"	["Cardinals", 26, 63]
"Remy"	["Cardinals", 24, 46]
"Renata"	["Red Sox", 48, 25]
"Rene"	["Cardinals", 25, 49]
"Renee"	["Cardinals", 30, 51]
"Reuben"	["Cardinals", 22, 42]
"Rex"	["Cardinals", 27, 49]
"Rey"	["Red Sox", 48, 33]
"Reyna"	["Red Sox", 50, 25]
"Rhett"	["Cardinals", 30, 45]
"Rhys"	["Cardinals", 28, 56]
"Ricardo"	["Cardinals", 43, 43]
"Richard"	["Red Sox", 53, 25]
"Ricky"	["Red Sox", 49, 26]
"Rihanna"	["Red Sox", 41, 32]
"Riley"	["Red Sox", 49, 39]
"River"	["Cardinals", 20, 43]
"Riya"	["Red Sox", 42, 33]
"Robert"	["Cardinals", 34, 55]
"Roberto"	["Cardinals", 33, 53]
"Rocco"	["Red Sox", 48, 22]
"Roderick"	["Cardinals", 43, 45]
"Rodney"	["Cardinals", 31, 48]
"Rodolfo"	["Red Sox", 48, 24]
"Rodrigo"	["Cardinals", 31, 51]
"Rogelio"	["Cardinals", 36, 50]
"Roger"	["Red Sox", 61, 37]
"Rohan"	["Cardinals", 25, 40]
"Roland"	["Red Sox", 51, 28]
"Rolando"	["Cardinals", 30, 51]
"Roman"	["Cardinals", 41, 33]
"Romeo"	["Cardinals", 26, 43]
"Ronald"	["Red Sox", 51, 32]
"Ronan"	["Cardinals", 34, 39]
"Ronin"	["Cardinals", 29, 53]
"Ronnie"	["Red Sox", 51, 24]
"Rory"	["Red Sox", 53, 25]
"Rosa"	["Cardinals", 23, 57]
"Rosalie"	["Cardinals", 37, 46]
"Rose"	["Cardinals", 42, 44]
"Roselyn"	["Red Sox", 57, 24]
"Rosemary"	["Red Sox", 50, 34]
"Ross"	["Red Sox", 49, 28]
"Rowan"	["Red Sox", 35, 29]
"Rowen"	["Cardinals", 34, 57]
"Roy"	["Cardinals", 33, 46]
"Royce"	["Red Sox", 40, 31]
"Ruben"	["Cardinals", 30, 43]
"Ruby"	["Cardinals", 20, 52]
"Rudy"	["Cardinals", 35, 60]
"Russell"	["Cardinals", 28, 47]
"Ruth"	["Red Sox", 38, 29]
"Ryan"	["Red Sox", 39, 25]
"Ryann"	["Cardinals", 26, 38]
"Ryder"	["Cardinals", 35, 44]
"Ryker"	["Cardinals", 22, 40]
"Rylan"	["Red Sox", 57, 25]
"Ryland"	["Red Sox", 45, 36]
"Rylee"	["Red Sox", 50, 30]
"Ryleigh"	["Cardinals", 24, 43]
"Rylen"	["Red Sox", 47, 37]
"Rylie"	["Red Sox", 50, 28]
"Saanvi"	["Red Sox", 50, 39]
"Sabrina"	["Red Sox", 47, 28]
"Sadie"	["Cardinals", 32, 46]
"Sage"	["Cardinals", 31, 58]
"Saige"	["Cardinals", 30, 44]
"Salma"	["Red Sox", 38, 21]
"Salvador"	["Red Sox", 55, 39]
"Salvatore"	["Red Sox", 48, 32]
"Sam"	["Red Sox", 36, 29]
"Samantha"	["Cardinals", 17, 46]
"Samara"	["Red Sox", 52, 34]
"Samir"	["Cardinals", 29, 47]
"Samiyah"	["Cardinals", 34, 43]
"Samson"	["Cardinals", 30, 61]
"Samuel"	["Red Sox", 49, 27]
"Sandra"	["Red Sox", 60, 14]
"Saniya"	["Cardinals", 31, 48]
"Saniyah"	["Cardinals", 33, 48]
"Santiago"	["Cardinals", 30, 46]
"Santino"	["Cardinals", 31, 51]
"Santos"	["Red Sox", 43, 38]
"Sara"	["Red Sox", 48, 28]
"Sarah"	["Red Sox", 45, 20]
"Sarahi"	["Red Sox", 55, 26]
"Sarai"	["Red Sox", 47, 31]
"Sariah"	["Red Sox", 48, 20]
"Sariyah"	["Red Sox", 54, 30]
"Sasha"	["Red Sox", 43, 20]
"Saul"	["Cardinals", 28, 50]
"Savanna"	["Red Sox", 52, 23]
"Savannah"	["Cardinals", 31, 45]
"Sawyer"	["Cardinals", 39, 40]
"Scarlet"	["Red Sox", 54, 39]
"Scarlett"	["Red Sox", 62, 23]
"Scarlette"	["Red Sox", 51, 34]
"Scott"	["Cardinals", 27, 53]
"Seamus"	["Cardinals", 23, 45]
"Sean"	["Red Sox", 49, 33]
"Sebastian"	["Cardinals", 46, 58]
"Selah"	["Red Sox", 39, 24]
"Selena"	["Cardinals", 33, 39]
"Semaj"	["Red Sox", 48, 31]
"Serena"	["Cardinals", 33, 40]
"Serenity"	["Red Sox", 45, 36]
"Sergio"	["Red Sox", 52, 30]
"Seth"	["Cardinals", 29, 47]
"Shane"	["Red Sox", 45, 25]
"Shannon"	["Red Sox", 59, 17]
"Sharon"	["Red Sox", 44, 31]
"Shaun"	["Red Sox", 37, 33]
"Shawn"	["Red Sox", 54, 32]
"Shayla"	["Cardinals", 33, 48]
"Shelby"	["Cardinals", 27, 44]
"Sheldon"	["Cardinals", 31, 48]
"Sherlyn"	["Red Sox", 53, 33]
"Shiloh"	["Red Sox", 50, 30]
"Sidney"	["Cardinals", 28, 50]
"Siena"	["Cardinals", 29, 49]
"Sienna"	["Cardinals", 27, 52]
"Sierra"	["Cardinals", 24, 58]
"Silas"	["Red Sox", 54, 28]
"Simeon"	["Red Sox", 48, 22]
"Simon"	["Red Sox", 38, 33]
"Simone"	["Red Sox", 61, 26]
"Sincere"	["Cardinals", 31, 49]
"Sky"	["Red Sox", 56, 24]
"Skye"	["Red Sox", 61, 28]
"Skyla"	["Red Sox", 52, 27]
"Skylar"	["Cardinals", 35, 62]
"Skyler"	["Cardinals", 33, 56]
"Sloan"	["Cardinals", 33, 41]
"Sloane"	["Red Sox", 45, 25]
"Sofia"	["Cardinals", 32, 49]
"Sofie"	["Red Sox", 50, 28]
"Solomon"	["Cardinals", 30, 50]
"Sonia"	["Cardinals", 27, 42]
"Sonny"	["Cardinals", 30, 46]
"Sophia"	["Red Sox", 39, 32]
"Sophie"	["Cardinals", 29, 38]
"Soren"	["Red Sox", 55, 30]
"Spencer"	["Red Sox", 47, 29]
"Stanley"	["Red Sox", 51, 29]
"Stefan"	["Cardinals", 22, 46]
"Stella"	["Cardinals", 41, 55]
"Stephanie"	["Cardinals", 32, 54]
"Stephen"	["Red Sox", 52, 29]
"Sterling"	["Red Sox", 55, 31]
"Steve"	["Cardinals", 35, 45]
"Steven"	["Cardinals", 23, 55]
"Sullivan"	["Cardinals", 25, 59]
"Summer"	["Cardinals", 30, 54]
"Susan"	["Cardinals", 29, 49]
"Sydney"	["Red Sox", 43, 38]
"Sylas"	["Cardinals", 30, 50]
"Sylvia"	["Red Sox", 56, 27]
"Tabitha"	["Red Sox", 40, 26]
"Talia"	["Cardinals", 35, 53]
"Taliyah"	["Red Sox", 54, 31]
"Talon"	["Red Sox", 48, 39]
"Tamia"	["Cardinals", 33, 55]
"Tanner"	["Cardinals", 28, 48]
"Tara"	["Cardinals", 34, 53]
"Taraji"	["Red Sox", 50, 29]
"Taryn"	["Red Sox", 46, 35]
"Tate"	["Red Sox", 48, 21]
"Tatiana"	["Red Sox", 47, 30]
"Tatum"	["Cardinals", 29, 46]
"Taylor"	["Red Sox", 48, 20]
"Teagan"	["Red Sox", 41, 33]
"Temperance"	["Cardinals", 36, 39]
"Tenley"	["Cardinals", 41, 49]
"Teresa"	["Red Sox", 46, 30]
"Terrance"	["Cardinals", 28, 53]
"Terrell"	["Cardinals", 30, 60]
"Terrence"	["Cardinals", 34, 55]
"Terry"	["Red Sox", 46, 29]
"Tess"	["Cardinals", 30, 48]
"Tessa"	["Cardinals", 27, 44]
"Thaddeus"	["Red Sox", 39, 23]
"Thalia"	["Red Sox", 47, 36]
"Theo"	["Cardinals", 28, 48]
"Theodore"	["Cardinals", 23, 45]
"Thiago"	["Cardinals", 28, 58]
"Thomas"	["Red Sox", 47, 25]
"Tia"	["Cardinals", 37, 56]
"Tiana"	["Red Sox", 35, 34]
"Tiffany"	["Red Sox", 61, 29]
"Timothy"	["Cardinals", 20, 48]
"Tinley"	["Red Sox", 49, 35]
"Titan"	["Red Sox", 63, 34]
"Titus"	["Red Sox", 59, 33]
"Tobias"	["Cardinals", 28, 48]
"Toby"	["Cardinals", 22, 48]
"Todd"	["Red Sox", 44, 21]
"Tomas"	["Cardinals", 29, 45]
"Tommy"	["Red Sox", 55, 31]
"Tony"	["Red Sox", 53, 28]
"Tori"	["Red Sox", 56, 31]
"Trace"	["Red Sox", 51, 31]
"Travis"	["Cardinals", 29, 41]
"Trent"	["Red Sox", 45, 31]
"Trenton"	["Cardinals", 29, 50]
"Trevon"	["Cardinals", 26, 51]
"Trevor"	["Cardinals", 26, 47]
"Trey"	["Cardinals", 27, 49]
"Trinity"	["Red Sox", 64, 37]
"Tripp"	["Red Sox", 60, 28]
"Tristan"	["Cardinals", 19, 32]
"Tristen"	["Cardinals", 32, 43]
"Tristian"	["Cardinals", 30, 36]
"Tristin"	["Red Sox", 51, 27]
"Triston"	["Cardinals", 30, 58]
"Troy"	["Cardinals", 34, 45]
"Truman"	["Cardinals", 21, 44]
"Trystan"	["Cardinals", 22, 36]
"Tucker"	["Red Sox", 41, 18]
"Turner"	["Red Sox", 52, 26]
"Ty"	["Cardinals", 29, 48]
"Tyler"	["Cardinals", 24, 43]
"Tyree"	["Red Sox", 48, 30]
"Tyrell"	["Cardinals", 29, 48]
"Tyrone"	["Cardinals", 33, 50]
"Tyson"	["Red Sox", 45, 29]
"Ulises"	["Red Sox", 49, 27]
"Uriah"	["Cardinals", 26, 51]
"Uriel"	["Cardinals", 24, 53]
"Urijah"	["Cardinals", 41, 61]
"Valentin"	["Cardinals", 29, 50]
"Valentina"	["Cardinals", 20, 47]
"Valentino"	["Cardinals", 30, 51]
"Valeria"	["Red Sox", 48, 21]
"Valerie"	["Cardinals", 33, 55]
"Van"	["Red Sox", 46, 31]
"Vance"	["Cardinals", 25, 53]
"Vanessa"	["Cardinals", 39, 45]
"Vaughn"	["Cardinals", 31, 54]
"Vera"	["Red Sox", 45, 22]
"Veronica"	["Red Sox", 50, 34]
"Vicente"	["Cardinals", 25, 49]
"Victor"	["Cardinals", 28, 46]
"Victoria"	["Red Sox", 58, 26]
"Vihaan"	["Cardinals", 38, 48]
"Vincent"	["Cardinals", 29, 62]
"Vincenzo"	["Red Sox", 48, 34]
"Violet"	["Red Sox", 52, 28]
"Virginia"	["Cardinals", 21, 39]
"Vivian"	["Red Sox", 49, 36]
"Viviana"	["Red Sox", 56, 29]
"Vivienne"	["Cardinals", 45, 53]
"Wade"	["Cardinals", 23, 50]
"Walker"	["Cardinals", 31, 37]
"Walter"	["Cardinals", 41, 45]
"Warren"	["Cardinals", 20, 39]
"Waylon"	["Cardinals", 40, 52]
"Wayne"	["Cardinals", 35, 64]
"Wendy"	["Red Sox", 39, 30]
"Wesley"	["Cardinals", 27, 36]
"Westin"	["Red Sox", 41, 21]
"Weston"	["Cardinals", 25, 53]
"Whitney"	["Cardinals", 26, 47]
"Will"	["Cardinals", 27, 38]
"Willa"	["Cardinals", 27, 44]
"William"	["Red Sox", 58, 34]
"Willie"	["Cardinals", 31, 47]
"Willow"	["Cardinals", 24, 48]
"Wilson"	["Cardinals", 31, 37]
"Winston"	["Red Sox", 46, 34]
"Winter"	["Cardinals", 37, 49]
"Wyatt"	["Cardinals", 31, 63]
"Xander"	["Cardinals", 22, 43]
"Xavi"	["Cardinals", 28, 50]
"Xavier"	["Cardinals", 27, 42]
"Ximena"	["Red Sox", 43, 35]
"Xzavier"	["Cardinals", 34, 47]
"Yael"	["Red Sox", 42, 23]
"Yahir"	["Cardinals", 26, 39]
"Yamileth"	["Red Sox", 57, 28]
"Yandel"	["Cardinals", 36, 44]
"Yareli"	["Cardinals", 28, 55]
"Yaretzi"	["Red Sox", 54, 28]
"Yaritza"	["Red Sox", 57, 43]
"Yasmin"	["Cardinals", 28, 42]
"Yehuda"	["Red Sox", 50, 20]
"Yesenia"	["Red Sox", 48, 23]
"Yosef"	["Cardinals", 32, 34]
"Yousef"	["Red Sox", 48, 30]
"Yusuf"	["Red Sox", 54, 24]
"Zachariah"	["Cardinals", 28, 48]
"Zachary"	["Cardinals", 36, 54]
"Zackary"	["Red Sox", 45, 23]
"Zahra"	["Red Sox", 60, 41]
"Zaid"	["Cardinals", 26, 49]
"Zaiden"	["Cardinals", 32, 40]
"Zain"	["Cardinals", 28, 54]
"Zaire"	["Red Sox", 44, 31]
"Zander"	["Red Sox", 49, 26]
"Zane"	["Cardinals", 25, 52]
"Zaniyah"	["Cardinals", 28, 40]
"Zara"	["Cardinals", 33, 47]
"Zaria"	["Cardinals", 32, 47]
"Zariah"	["Cardinals", 35, 50]
"Zariyah"	["Red Sox", 44, 36]
"Zavier"	["Red Sox", 52, 33]
"Zayden"	["Red Sox", 50, 25]
"Zayne"	["Cardinals", 41, 63]
"Zechariah"	["Red Sox", 53, 25]
"Zeke"	["Cardinals", 34, 50]
"Zion"	["Cardinals", 26, 40]
"Zoe"	["Red Sox", 45, 30]
"Zoey"	["Red Sox", 44, 38]
"Zoie"	["Red Sox", 46, 31]
"Zuri"	["Cardinals", 24, 64]
